aa0,Tulip,2,800,251
aa1,Orchid,2,270,969
aa2,Lavender,1,580,962
aa3,Lavender,2,990,600
aa4,Tulip,2,350,692
aa5,Rose,1,880,718
aa6,Orchid,1,870,54
aa7,Rose,1,210,99
aa8,Lotus,2,330,545
aa9,Rose,2,270,816
aa10,Lotus,1,70,429
aa11,Rose,2,80,175
aa12,Rose,2,570,435
aa13,Tulip,2,750,837
aa14,Orchid,1,270,651
aa15,Lotus,2,60,10
aa16,Tulip,1,530,240
aa17,Lavender,1,20,158
aa17,Iris,1,20,158
aa18,Lavender,1,860,270
aa19,Lavender,2,150,157
aa20,Lotus,2,960,664
aa21,Lotus,2,270,183
aa22,Rose,1,210,728
aa23,Tulip,1,670,434
aa24,Rose,2,180,345
aa25,Rose,2,500,207
aa26,Tulip,2,990,273
aa27,Lavender,1,270,176
aa28,Orchid,1,470,133
aa29,Lotus,1,710,730
aa30,Lavender,2,920,74
aa31,Lavender,2,710,249
aa32,Rose,2,430,384
aa33,Lotus,2,20,717
aa34,Orchid,2,170,317
aa35,Orchid,1,620,90
aa36,Lavender,1,50,728
aa37,Tulip,1,60,398
aa38,Lavender,1,110,449
aa39,Lavender,2,860,282
aa40,Lavender,2,850,981
aa41,Lotus,1,710,349
aa42,Rose,1,690,567
aa43,Rose,1,990,692
aa44,Tulip,2,860,597
aa45,Lotus,2,560,990
aa46,Tulip,2,400,700
aa47,Lavender,1,840,792
aa48,Rose,1,330,922
aa49,Orchid,2,710,84
aa50,Rose,1,460,219
aa51,Orchid,1,600,720
aa51,Orchid,6263,600,720
aa52,Orchid,2,340,781
aa53,Rose,2,890,577
aa54,Tulip,2,140,433
aa55,Orchid,2,310,333
aa56,Lavender,2,730,346
aa57,Lavender,2,920,223
aa58,Lotus,2,440,46
aa59,Orchid,2,50,482
aa60,Rose,1,450,636
aa61,Orchid,2,710,601
aa62,Lavender,1,420,934
aa63,Rose,1,870,953
aa64,Orchid,2,240,82
aa65,Tulip,1,720,994
aa66,Rose,2,30,794
aa67,Orchid,2,740,184
aa68,Lavender,1,370,980
aa69,Tulip,1,580,733
aa70,Rose,2,260,159
aa71,Rose,2,300,309
aa72,Lotus,1,70,127
aa73,Lotus,2,740,23
aa74,Lotus,1,860,218
aa75,Lotus,1,580,786
aa76,Orchid,2,340,86
